# 3D point list with one line of data per point:
#   POINT3D_ID, X, Y, Z, R, G, B, ERROR, TRACK[] as (IMAGE_ID, POINT2D_IDX)
# Number of points: 36032
180 1.957409 -0.470607 -0.007773 128 128 255 1.0000 70 0
181 0.425643 -0.562556 -0.000753 128 128 255 1.0000 70 0
182 0.051099 -0.725545 0.416712 128 128 255 1.0000 70 0
183 1.810250 -0.081690 0.473887 128 128 255 1.0000 70 0
184 1.540225 -0.164188 1.338824 128 128 255 1.0000 70 0
185 2.081375 -0.132864 0.027619 128 128 255 1.0000 70 0
186 2.035982 -0.068632 0.103104 128 128 255 1.0000 70 0
187 1.507155 -0.049337 1.303930 128 128 255 1.0000 70 0
188 2.029008 -0.034341 0.125856 128 128 255 1.0000 70 0
189 1.900028 0.011382 0.843184 128 128 255 1.0000 70 0
190 1.357912 0.051088 0.093445 128 128 255 1.0000 70 0
191 -0.608889 0.067074 -0.180186 128 128 255 1.0000 1 0
192 1.711512 -0.631557 1.206228 128 128 255 1.0000 9 0
193 1.414031 0.020263 0.332331 128 128 255 1.0000 70 0
194 1.320451 0.058499 0.233605 128 128 255 1.0000 70 0
195 1.809584 0.021955 0.443984 128 128 255 1.0000 70 0
196 1.808797 0.024526 0.435050 128 128 255 1.0000 70 0
197 1.339714 0.067207 0.227351 128 128 255 1.0000 70 0
198 1.810303 0.051371 0.441727 128 128 255 1.0000 70 0
199 2.033028 -0.523281 0.600551 128 128 255 1.0000 70 0
200 2.068415 -0.339980 0.347119 128 128 255 1.0000 70 0
201 1.822125 -0.140420 0.573268 128 128 255 1.0000 70 0
202 0.983467 -0.512759 -1.628508 128 128 255 1.0000 9 0
203 2.146015 -0.256425 0.969375 128 128 255 1.0000 70 0
204 1.797132 -0.075874 0.477624 128 128 255 1.0000 70 0
205 0.495040 -0.471872 1.576388 128 128 255 1.0000 70 0
206 0.156048 -0.466099 1.631749 128 128 255 1.0000 70 0
207 1.956509 -0.198938 -0.288550 128 128 255 1.0000 70 0
208 2.025595 -0.038512 0.063444 128 128 255 1.0000 70 0
209 2.028859 -0.036713 0.060545 128 128 255 1.0000 70 0
210 1.173224 0.021187 0.690451 128 128 255 1.0000 70 0
211 1.435250 0.079395 1.207530 128 128 255 1.0000 70 0
212 1.451017 0.077765 1.110289 128 128 255 1.0000 70 0
213 1.809435 0.018574 0.452820 128 128 255 1.0000 70 0
214 1.900371 0.049994 0.211579 128 128 255 1.0000 70 0
215 1.500044 0.029862 0.619577 128 128 255 1.0000 70 0
216 1.812705 0.031262 0.485481 128 128 255 1.0000 70 0
217 1.477009 0.076047 0.606519 128 128 255 1.0000 70 0
218 2.084366 -0.644781 0.685758 128 128 255 1.0000 70 0
219 1.077228 -0.773762 1.414302 128 128 255 1.0000 70 0
220 2.070562 -0.353902 0.346834 128 128 255 1.0000 70 0
221 1.463415 -0.505910 1.302559 128 128 255 1.0000 70 0
222 0.551698 -0.731916 1.268694 128 128 255 1.0000 70 0
223 2.028348 -0.282784 0.054970 128 128 255 1.0000 70 0
224 0.642006 -0.119005 1.572533 128 128 255 1.0000 9 0
225 0.442248 -0.552015 -0.036077 128 128 255 1.0000 70 0
226 1.683402 -0.150266 1.251439 128 128 255 1.0000 70 0
227 0.297859 -0.248755 1.517230 128 128 255 1.0000 70 0
228 1.606160 -0.074142 1.302866 128 128 255 1.0000 70 0
229 1.516858 0.051801 1.172923 128 128 255 1.0000 70 0
230 1.778924 0.031397 0.182864 128 128 255 1.0000 70 0
231 1.739312 0.056710 0.180162 128 128 255 1.0000 70 0
232 1.335686 0.084501 0.579707 128 128 255 1.0000 70 0
233 1.418309 0.081641 0.351413 128 128 255 1.0000 70 0
234 1.041908 -0.783203 0.224017 128 128 255 1.0000 70 0
235 1.197480 -0.615533 0.826659 128 128 255 1.0000 70 0
236 2.007585 -0.454163 0.206257 128 128 255 1.0000 70 0
237 2.061653 -0.442189 0.257314 128 128 255 1.0000 70 0
238 2.185765 -0.612400 1.279422 128 128 255 1.0000 70 0
239 2.062645 -0.333246 0.347099 128 128 255 1.0000 70 0
240 0.702201 -0.634041 0.922007 128 128 255 1.0000 70 0
241 1.892695 -0.142551 0.507720 128 128 255 1.0000 70 0
242 1.843270 -0.114634 0.434289 128 128 255 1.0000 70 0
243 -0.631256 -0.721565 -0.191908 128 128 255 1.0000 70 0
244 1.874999 -0.221613 1.362040 128 128 255 1.0000 70 0
245 1.912923 -0.068726 0.607324 128 128 255 1.0000 70 0
246 1.379872 0.075294 0.364837 128 128 255 1.0000 70 0
247 1.342147 0.081613 0.369953 128 128 255 1.0000 70 0
248 1.965440 -0.762974 0.795324 128 128 255 1.0000 70 0
249 1.898024 -0.743849 -0.007882 128 128 255 1.0000 70 0
250 1.187500 -0.830196 -0.123969 128 128 255 1.0000 70 0
251 1.678553 -0.581948 1.384607 128 128 255 1.0000 70 0
252 1.914342 -0.069264 0.607878 128 128 255 1.0000 70 0
253 1.845378 -0.211733 -0.885712 128 128 255 1.0000 70 0
254 -0.922578 -0.383245 -0.405442 128 128 255 1.0000 59 0
255 2.009617 -0.040050 -0.119238 128 128 255 1.0000 70 0
256 1.370493 0.072743 0.069197 128 128 255 1.0000 70 0
257 1.797117 0.048818 0.577657 128 128 255 1.0000 70 0
258 2.131641 -0.533363 1.200269 128 128 255 1.0000 9 0
259 1.511215 -0.848090 1.079076 128 128 255 1.0000 70 0
260 2.000787 -0.453820 0.200044 128 128 255 1.0000 70 0
261 -0.472994 0.091892 -0.302637 128 128 255 1.0000 1 0
262 2.082175 -0.355807 0.371650 128 128 255 1.0000 70 0
263 0.273670 -0.212352 1.539725 128 128 255 1.0000 9 0
264 0.876148 -0.686129 1.584216 128 128 255 1.0000 70 0
265 1.493243 -0.380360 1.400275 128 128 255 1.0000 70 0
266 1.988943 -0.203957 0.034208 128 128 255 1.0000 70 0
267 1.951909 -0.072982 -0.274008 128 128 255 1.0000 70 0
268 1.968820 -0.024782 0.778891 128 128 255 1.0000 70 0
269 1.810464 -0.018465 0.455890 128 128 255 1.0000 70 0
270 1.813519 -0.007802 0.487334 128 128 255 1.0000 70 0
271 1.811177 0.030081 0.446292 128 128 255 1.0000 70 0
272 -0.149472 0.090809 -0.449391 128 128 255 1.0000 9 0
