# Image list with two lines of data per image:
#   IMAGE_ID, QW, QX, QY, QZ, TX, TY, TZ, CAMERA_ID, NAME
#   POINTS2D[] as (X, Y, POINT3D_ID)
# Number of images: 104
95 0.0216474777 0.0170639343 0.9996161167 -0.0027978724 1.5270114950 -0.0348785559 -0.4147003429 1 frame_0094.jpg

96 0.0316264319 0.0155039385 0.9993613354 -0.0060264362 1.5339012657 -0.0332603389 -0.4212679953 1 frame_0095.jpg

97 0.0389514393 0.0157458294 0.9990989660 -0.0060091857 1.5381577902 -0.0340432688 -0.4374349514 1 frame_0096.jpg

98 0.0388768926 0.0139049883 0.9991201905 -0.0073541437 1.5368094452 -0.0302127888 -0.4761168892 1 frame_0097.jpg

99 0.0316248756 0.0142864142 0.9993499861 -0.0097658029 1.5279714202 -0.0342537502 -0.5367719482 1 frame_0098.jpg

100 0.0241243039 0.0141018788 0.9996087937 0.0011893015 1.5182411315 -0.0204768145 -0.6001736433 1 frame_0099.jpg

101 0.0177818338 0.0141917393 0.9997095043 -0.0079566312 1.5085879822 -0.0325400411 -0.6546509469 1 frame_0100.jpg

102 0.0117973427 0.0106553374 0.9998562297 -0.0058996889 1.5002138182 -0.0192545734 -0.7049391522 1 frame_0101.jpg

103 0.0118728350 0.0104506016 0.9998445316 -0.0077931603 1.5003573161 -0.0213571791 -0.7044265056 1 frame_0102.jpg

104 0.0118577727 0.0103962299 0.9998446131 -0.0078778924 1.5003703278 -0.0213065452 -0.7044339720 1 frame_0103.jpg

